Lastname,Firstname,Authorname,JoinedAsBuilder,Affiliation,ORCID
Pérez-Fernández,Alejandro,A.~P\'{e}rez-Fern\'{a}ndez,False,"Instituto de F\'{\i}sica, Universidad Nacional Aut\'{o}noma de M\'{e}xico,  Cd. de M\'{e}xico  C.P. 04510,  M\'{e}xico",0009-0006-1331-4035
Pérez-Fernández,Alejandro,A.~P\'{e}rez-Fern\'{a}ndez,False,None,0009-0006-1331-4035
Pérez-Ràfols,Ignasi,I.~P\'erez-R\`afols,False,"Departament de F\'isica, EEBE, Universitat Polit\`ecnica de Catalunya, c/Eduard Maristany 10, 08930 Barcelona, Spain",0000-0001-6979-0125
Rabinowitz,David,D.~Rabinowitz,True,"Physics Department, Yale University, P.O. Box 208120, New Haven, CT 06511, USA",
Raichoor,Anand,A.~Raichoor,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0001-5999-7923
Ramírez Pérez,César ,C.~Ram\'irez-P\'erez,False,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",
Ramírez Solano,Sadi,S.~Ramirez-Solano,False,"Instituto de F\'{\i}sica, Universidad Nacional Aut\'{o}noma de M\'{e}xico,  Cd. de M\'{e}xico  C.P. 04510,  M\'{e}xico",
Rashkovetskyi,Michael,M.~Rashkovetskyi,False,"Center for Astrophysics $|$ Harvard \& Smithsonian, 60 Garden Street, Cambridge, MA 02138, USA",0000-0001-7144-2349
Ravoux,Corentin,C.~Ravoux,False,"Aix Marseille Univ, CNRS/IN2P3, CPPM, Marseille, France",0000-0002-3500-6635
Ravoux,Corentin,C.~Ravoux,False,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",0000-0002-3500-6635
Rezaie,Mehdi,M.~Rezaie,True,"Department of Physics, Kansas State University, 116 Cardwell Hall, Manhattan, KS 66506, USA",0000-0001-5589-7116
Rich,James,J.~Rich,False,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",
Rich,James,J.~Rich,False,"Sorbonne Universit\'{e}, CNRS/IN2P3, Laboratoire de Physique Nucl\'{e}aire et de Hautes Energies (LPNHE), FR-75005 Paris, France",
Rocher,Antoine,A.~Rocher,False,"Ecole Polytechnique F\'{e}d\'{e}rale de Lausanne, CH-1015 Lausanne, Switzerland",0000-0003-4349-6424
Rodríguez Martínez,Fanny Arlin,F.~Rodríguez Martínez,False,"Instituto de F\'{\i}sica, Universidad Nacional Aut\'{o}noma de M\'{e}xico,  Cd. de M\'{e}xico  C.P. 04510,  M\'{e}xico",
Roe,Natalie,N.A.~Roe,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",
Ross,Ashley J.,A.~J.~Ross,True,"Center for Cosmology and AstroParticle Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",
Ross,Ashley J.,A.~J.~Ross,True,"Department of Astronomy, The Ohio State University, 4055 McPherson Laboratory, 140 W 18th Avenue, Columbus, OH 43210, USA",
Ross,Ashley J.,A.~J.~Ross,True,"The Ohio State University, Columbus, 43210 OH, USA",
Rossi,Graziano,G.~Rossi,True,"Department of Physics and Astronomy, Sejong University, Seoul, 143-747, Korea",
Ruggeri,Rossana,R.~Ruggeri,False,"Centre for Astrophysics \& Supercomputing, Swinburne University of Technology, P.O. Box 218, Hawthorn, VIC 3122, Australia",0000-0002-0394-0896
Ruggeri,Rossana,R.~Ruggeri,False,"School of Mathematics and Physics, University of Queensland, 4072, Australia",0000-0002-0394-0896
Ruhlmann-Kleider,Vanina,V.~Ruhlmann-Kleider,True,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",0009-0000-6063-6121
Samushia,Lado,L.~Samushia,False,"Abastumani Astrophysical Observatory, Tbilisi, GE-0179, Georgia",0000-0002-1609-5687
Samushia,Lado,L.~Samushia,False,"Department of Physics, Kansas State University, 116 Cardwell Hall, Manhattan, KS 66506, USA",0000-0002-1609-5687
Samushia,Lado,L.~Samushia,False,"Faculty of Natural Sciences and Medicine, Ilia State University, 0194 Tbilisi, Georgia",0000-0002-1609-5687
Sanchez,Eusebio,E.~Sanchez,True,"CIEMAT, Avenida Complutense 40, E-28040 Madrid, Spain",0000-0002-9646-8198
Saulder,Christoph,C.~Saulder,False,None,0000-0002-0408-5633
Scholte,Dirk,D.~Scholte,False,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",
Schubnell,Michael,M.~Schubnell,True,"Department of Physics, University of Michigan, Ann Arbor, MI 48109, USA",
Schubnell,Michael,M.~Schubnell,True,"University of Michigan, Ann Arbor, MI 48109, USA",
Shafieloo,Arman,A.~Shafieloo,False,"Korea Astronomy and Space Science Institute, 776, Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea",0000-0001-6815-0337
Sharples,Ray,R.~Sharples,True,"Centre for Advanced Instrumentation, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",0000-0003-3449-8583
Sharples,Ray,R.~Sharples,True,"Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",0000-0003-3449-8583
Silber,Joseph Harry,J.~Silber,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0002-3461-0320
Sinigaglia,Francesco,F.~Sinigaglia,False,"Instituto de Astrof\'{i}sica de Canarias, C/ Vía L\'{a}ctea, s/n, E-38205 La Laguna, Tenerife, Spain \\  Universidad de La Laguna, Dept. de Astrof\'{\i}sica, E-38206 La Laguna, Tenerife, Spain",0000-0002-0639-8043
Smith,Alex,A.~Smith,True,"Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",0000-0002-3712-6892
Sprayberry,David,D.~Sprayberry,True,"NSF's NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",
Swanson,Jaide,J.~Swanson,False,"Department of Physics \& Astronomy, Ohio University, Athens, OH 45701, USA",
Tan,Ting,T.~Tan,False,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",
Tarlé,Gregory,G.~Tarl\'{e},True,"University of Michigan, Ann Arbor, MI 48109, USA",0000-0003-1704-0781
Taylor,Peter,P.~Taylor,False,"The Ohio State University, Columbus, 43210 OH, USA",
Trusov,Svyatoslav,S.~Trusov,False,"Sorbonne Universit\'{e}, CNRS/IN2P3, Laboratoire de Physique Nucl\'{e}aire et de Hautes Energies (LPNHE), FR-75005 Paris, France",
Vaisakh,Rajeev,R.~Vaisakh,False,"Department of Physics, Southern Methodist University, 3215 Daniel Avenue, Dallas, TX 75275, USA",0009-0001-2732-8431
Valcin,David,D.~Valcin,False,"Department of Physics \& Astronomy, Ohio University, Athens, OH 45701, USA",0000-0003-0129-0620
Valdes,Francisco,F.~Valdes,False,"NSF's NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",0000-0001-5567-1301
Vargas Magana,Mariana ,M.~Vargas-Maga\~na,True,"Instituto de F\'{\i}sica, Universidad Nacional Aut\'{o}noma de M\'{e}xico,  Cd. de M\'{e}xico  C.P. 04510,  M\'{e}xico",0000-0003-3841-1836
Verde,Licia,L.~Verde,False,"Instituto de C\`{\i}encias del Cosmoc, (ICCUB) Universidad de Barcelona (IEEC-UB), Mart\'{\i} i Franqu\`{e}s 1, E08028 Barcelona, Spain",0000-0003-2601-8770
Verde,Licia,L.~Verde,False,"Instituci\'{o} Catalana de Recerca i Estudis Avan\c{c}ats, Passeig de Llu\'{\i}s Companys, 23, 08010 Barcelona, Spain",0000-0003-2601-8770
Walther,Michael,M.~Walther,False,"Excellence Cluster ORIGINS, Boltzmannstrasse 2, D-85748 Garching, Germany",0000-0002-1748-3745
Walther,Michael,M.~Walther,False,"University Observatory, Faculty of Physics, Ludwig-Maximilians-Universit\""{a}t, Scheinerstr. 1, 81677 M\""{u}nchen, Germany",0000-0002-1748-3745
Wang,Mike Shengbo,M.~S.~Wang,False,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",0000-0002-2652-4043
Wang,Ben,B.~Wang,False,"Beihang University, Beijing 100191, China",0000-0003-4877-1659
Wang,Ben,B.~Wang,False,"Department of Astronomy, Tsinghua University, 30 Shuangqing Road, Haidian District, Beijing, China, 100190",0000-0003-4877-1659
Weaver,Benjamin Alan,B.~A.~Weaver,True,"NSF's NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",
Weaverdyck,Noah,N.~Weaverdyck,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",
Weinberg,David,D.~H.~Weinberg,False,"Department of Astronomy, The Ohio State University, 4055 McPherson Laboratory, 140 W 18th Avenue, Columbus, OH 43210, USA",0000-0001-7775-7261
Weinberg,David,D.~H.~Weinberg,False,"The Ohio State University, Columbus, 43210 OH, USA",0000-0001-7775-7261
White,Martin J.,M.~White,True,"Department of Physics, University of California, Berkeley, 366 LeConte Hall MC 7300, Berkeley, CA 94720-7300, USA",0000-0001-9912-5070
White,Martin J.,M.~White,True,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",0000-0001-9912-5070
Yu,Jiaxi,J.~Yu,False,"Ecole Polytechnique F\'{e}d\'{e}rale de Lausanne, CH-1015 Lausanne, Switzerland",
Yu,Yu,Y.~Yu,False,"Department of Astronomy, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai 200240, China",
Yuan,Sihan,S.~Yuan,False,"SLAC National Accelerator Laboratory, Menlo Park, CA 94305, USA",0000-0002-5992-7586
Yèche,Christophe,C.~Yèche,True,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",0000-0001-5146-8533
Zaborowski,Erik,E.~Zaborowski,False,"The Ohio State University, Columbus, 43210 OH, USA",
Zarrouk,Pauline,P.~Zarrouk,True,"Sorbonne Universit\'{e}, CNRS/IN2P3, Laboratoire de Physique Nucl\'{e}aire et de Hautes Energies (LPNHE), FR-75005 Paris, France",0000-0002-7305-9578
Zhang,Hanyu,H.~Zhang,False,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",0000-0001-6847-5254
Zhao,Cheng,C.~Zhao,False,"Department of Astronomy, Tsinghua University, 30 Shuangqing Road, Haidian District, Beijing, China, 100190",0000-0002-1991-7295
Zhao,Ruiyang,R.~Zhao,False,"National Astronomical Observatories, Chinese Academy of Sciences, A20 Datun Rd., Chaoyang District, Beijing, 100012, P.R. China",0000-0002-7284-7265
Zhou,Rongpu,R.~Zhou,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0001-5381-4372
Zhuang,Tianke,T.~Zhuang,False,"University of Michigan, Ann Arbor, MI 48109, USA",
Zou,Hu,H.~Zou,True,"National Astronomical Observatories, Chinese Academy of Sciences, A20 Datun Rd., Chaoyang District, Beijing, 100012, P.R. China",0000-0002-6684-3997
